Gene names
ADRA1A
ADRA1B
ADRA2A
ADRA2B
ADRA2C
ADRB3
AHR
ATP1A2
BDNF
CCKBR
CHAT
CHRM1
CHRM2
CHRM3
CHRM4
CHRM5
CSMD1
CYP1A1
DRD1
DRD2
DRD3
DRD4
DRD5
EIF2AK4
EPM2A
FAAH
FMO1
GAA
GCG
GFER
GIPR
GLP1R
GNB3
GSTM3
GSTP1
HRH1
HTR1A
HTR1B
HTR1D
HTR1E
HTR2A
HTR2C
HTR3A
HTR6
HTR7
IL1A
MC4R
MIR1264
MIR1912
MTHFR
PLAGL1
PPARG
PRKAA2
PRKAB2
PTPRN2
RABEP1
RGS4
SH2B1
SLC1A1
SLC22A1
SLC26A9
SPOPL
TBC1D1
TPMT
UGT2B10
