Gene names
ATXN2
AURKA
BAZ2B
BGLAP
BRCA1
CBX1
CCNA2
CCND1
CETP
COL18A1
CYP19A1
CYP1A2
CYP2B6
CYP2C9
CYP2D6
CYP3A4
DHFR
E2F7
EDN1
EHMT2
ERBB2
ESR1
ESR2
F2
F5
FMO1
FMO3
GAPDH
GGT1
GMNN
HEXB
HSPB2
IDH1
IGF1R
KDM4A
KLK3
LRMDA
MUC16
MYOD1
NCOA1
NCOA3
NF1
NR1I2
NRG1
NTRK1
PGR
PIK3CA
PIP
PLD1
PLD2
RRAS2
SLCO1A2
SLCO2B1
TFF3
TGFB1
TGM2
TP53
TYMS
VDR
ZNF423
ZNF613
