Gene names
ABCB1
ABCG2
AKT1
APOA5
APOB
CDK2
CETP
CYP1A2
CYP2C19
CYP2C9
CYP2D6
CYP3A4
CYP3A5
CYP4F2
EHMT2
FDFT1
HMGCR
IDH1
LDLR
LEP
LIPA
LPL
NT5E
PIK3CB
PIK3CG
PPARA
PRL
PXN
RORC
SMN1
SMN2
SOAT1
TFPI
THBS1
VDR
