Gene names
ABCA1
ABCB1
ABCG2
ACE
ADAMTS1
APOB
APOE
BAX
CLMN
CYP3A4
HLA-DRB1
HMGCR
IL1B
IL2
LDLR
LPL
MMP2
MMP3
MTTP
NOS1
NPC1L1
RHOA
SLC10A1
SLCO1B1
SLCO1B3
