Gene names
ABCA1
ABCB1
ACE
AGTR1
APOA5
APOB
BDKRB2
BGLAP
CACNA1S
CD40LG
CLMN
CXCL10
CYP3A4
CYP3A7
DRD3
FAS
FGF2
HLA-DRB1
HMGCR
HSPD1
IFNL3
IFNL4
IL2RA
ITGAM
LEPR
LIPC
MAPK10
MTHFR
MYLIP
NOS1
NOS3
NR1I2
PIK3CG
POR
PPARD
PRDM16
RYR1
SLCO1B1
SOAT1
TFPI
TGM2
TNF
UGT1A1
UGT1A10
UGT1A3
UGT1A4
UGT1A5
UGT1A6
UGT1A7
UGT1A8
UGT1A9
