Gene names
ACACB
CAPN10
CPA6
CSMD1
FMO5
HNF1B
HRAS
IDH1
IGF1R
IL1B
KCNJ11
KRAS
MAP2K1
MTOR
NBEA
NR1I2
NRAS
PIK3CA
PPARA
PPARG
PRKAA1
PRKAA2
PRKAB1
PRKAB2
PRKAG1
PRKAG2
PRKAG3
PRPF31
PTEN
SLC19A3
SLC22A3
SLC29A4
SLC2A2
SRR
STK11
TCF7L2
