Gene names
ABCB1
ALK
ARF1
AXL
BLK
BRAF
BRSK1
CAMK2D
CAMK2G
CEACAM5
CHEK2
CRKL
CSNK1D
CYP2C9
CYP2D6
CYP3A5
DVL2
EGFR
EMP1
ERBB2
ERBB3
ERBB4
FLT4
FRK
GMNN
HCK
HIPK4
IGF1R
IGF2
IRAK1
IRAK4
KEAP1
KRAS
LCK
LIMK1
LYN
MAP3K1
MAP4K4
MAP4K5
MAPK10
MAPK14
MAPK8
MAPK9
MAPT
MET
MINK1
MKNK2
NUP62
PBK
PHKG2
PIK3CA
PIM1
PIM3
PRKD2
PRKD3
PTEN
RELA
ROS1
SIK2
SIRT2
SLK
SMO
TNK2
UHRF1
YES1
