Gene names
ABCC1
ACE
ADM
AFP
AGTR1
AKR1C3
BDNF
BIRC5
CD86
CYP1A2
CYP2C19
CYP2C9
CYP2D6
DDIT3
ENO2
FCGR3A
FCGR3B
FGF2
FST
GGT1
ITGB2
KCNE1
KCNQ1
MYC
NFE2L2
PTGES
PTGS1
PTGS2
SAG
SLC2A4
STAT6
TH
TRPV1
TYMS
