Gene names
ALDH1A1
ATXN2
CBX1
CYP1A2
CYP2C19
CYP2D6
CYP3A4
ESR1
ESR2
GHRL
GNRH1
HSD17B10
IGF1R
IL1B
IL6R
IL6ST
MAPT
PIK3CA
PIK3CG
PLAT
PTGS2
TERT
THPO
TP53
TSHB
UGT1A1
UGT1A8
VDR
