Gene names
ABCB1
AMACR
APC
COMT
CXCR1
CXCR2
CYP19A1
CYP1A2
CYP2C19
CYP2C8
CYP2C9
CYP2D6
CYP3A4
CYP3A5
DDIT3
FAAH
HPGD
IFNG
NOS1
NOS3
OPRM1
PIK3CA
PTGER1
PTGER4
PTGS1
PTGS2
TARDBP
UGT1A3
UGT1A9
UGT2B17
UGT2B4
UGT2B7
VHL
