Gene names
ABCB1
ABCG2
ABL1
ALK
APC
AR
ARF1
AURKB
BIRC5
BLK
BRAF
CLK4
CYP1A2
CYP2D6
CYP3A4
CYP3A5
DDR2
DVL2
EGFR
ERBB2
ERBB3
ERBB4
ERRFI1
FGFR3
FGFR4
FLT1
FLT4
FRK
HIPK4
IGF1R
JAK2
KDR
KRAS
LTK
LYN
MAP3K1
MAPK1
MET
MINK1
MKNK2
NF1
NF2
NRG1
NUP62
PIK3CA
PKN2
PRKD2
PTEN
RET
ROS1
SLK
SYK
TP53
UHRF1
YES1
