Gene names
ABL1
ALOX12
APC
AR
ATP2A1
ATP2A2
ATP2A3
BCAR1
BGLAP
BRAF
CA12
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1F
CACNA1G
CACNA1H
CACNA1I
CACNA1S
CACNA2D1
CACNA2D2
CACNA2D3
CACNA2D4
CACNB1
CACNB2
CACNB3
CACNB4
CASP3
CASP9
CDKN1A
CDKN1B
COL18A1
CTNNB1
CYP3A4
CYP3A5
DDIT3
EDN1
GHRL
HSPA4
IGFBP3
IL23R
KCNQ1
KCNQ2
KCNQ3
KCNQ4
KCNQ5
MMP9
MT-CO2
NFE2L2
PDK1
PDPK1
PIK3CA
PLAU
PPARG
PTGER4
PTGES
PTGS1
PTGS2
RORC
STAT3
VEGFA
