Gene names
ABCB5
AKAP13
ANKK1
ANPEP
AR
ARID5B
BDNF
CACNA1C
CAMK2G
COMT
CYP1A2
CYP2D6
CYP3A4
CYP3A43
DLG4
DPP6
DRD1
DRD2
DRD3
DRD4
DTNBP1
EIF2AK4
EPM2A
FAAH
GMNN
GRIA1
GRIK4
GRIN1
GRIN2A
GRIN2B
HOMER1
HSPA4
HSPG2
HTR2A
HTR3A
HTR3E
IL1RN
KCNH2
LDLR
MAOB
MAPK14
MC4R
MTHFR
NKX6-1
NPY
NR4A1
NT5E
NTS
PLEKHA6
RGS2
RTKN2
RYR1
SIGMAR1
SLC1A1
SLC2A4
SLC6A3
SLC6A5
TAC1
TOR1A
TP53
UGT2B7
ZIC4
