Gene names
BAP1
CA9
CSF1R
CXCL8
CYP3A4
EWSR1
FGFR1
FGFR2
FLT1
FLT3
FLT4
HIF1A
HMOX1
IL4R
KDM5C
KDR
KIT
MKI67
NOS3
NR1I2
NR1I3
PBRM1
PDGFA
PDGFB
PDGFC
PDGFD
PDGFRA
PDGFRB
POR
PTEN
PTPN12
PTPRB
RET
SLC22A5
TP53
VEGFA
VEGFC
VHL
YES1
