Gene names
AANAT
ACE
ATXN2
CRHR1
CYP1A2
CYP2D6
CYP3A4
DRD1
GSK3B
HTR1B
HTR2A
HTR4
HTR7
IGF2
KCNH2
NOS2
PPP1R1B
REEP5
SLC6A4
SLCO1B1
SRP19
