Gene names
ABCA3
ABCB1
ABCB4
ABCC4
ABCG2
ABI1
ABL1
ABL2
ALK
ARID5B
ATIC
BCL2L11
BCR
BIRC5
BRAF
CD274
CD40LG
CLK4
CSF1R
CSF3R
CTNNB1
CYP2B6
CYP2F1
CYP3A4
CYP3A5
DDR1
EGFR
EYA2
FIP1L1
FLT3
FRK
GSTT1
IKZF1
IRAK1
JAK2
KIT
KRAS
LCK
LYN
MAPK10
MYC
NF1
NF2
NQO2
NTRK1
PDGFB
PDGFRA
PDGFRB
PRKCH
PTEN
RCSD1
RET
RUNDC3B
SFN
SLC19A1
SLC2A4
SLCO1A2
SMAD3
TAOK1
UGT2A1
ULK3
YES1
