Gene names
ABCA1
ABCB1
ABCC2
ABCG8
APOA5
AR
BDNF
CACNA1S
CCR2
CEL
CYBA
CYP1A2
CYP2C19
CYP2C8
CYP2C9
CYP2D6
CYP3A4
CYP3A5
F3
HLA-DRB1
HLA-G
HMGCR
ICMT
IDH1
IL17A
LEPR
LIF
LIPC
MMP2
NFE2L2
NR1I2
NR2E3
PIK3CG
PLK1
PLTP
PON1
PRDM16
RHOA
RYR1
SCAP
SLCO2B1
THBD
THBS1
TPM3
UGT1A9
ZNF542P
