Gene names
ABCC2
ALB
ANPEP
CCL17
CYP1A2
CYP2C19
CYP2C9
CYP2D6
CYP3A4
DDIT3
GDF15
GGT1
MPO
PLA2G4A
PLCG1
PPARG
PRL
PTGS1
PTGS2
SLC22A7
TNFRSF11A
UGT1A10
UGT1A6
UGT2B17
UGT2B7
